No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia,Pengkhotbah / Cabang
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,20200524,,
2,06.10 WIB,Persekutuan Doa + Kebaktian Umum,Pdt. Budy Setiawan,http://bit.ly/griimelbournelive,,20200524,,
3,07.00 WIB,Kebaktian Umum,Pdt. Agus Marjanto,https://www.griisydney.org/relay-live/,,20200524,,
4,07.30 WIB,Kebaktian Umum - Mandarin,Pdt. Stephen Tong,https://www.youtube.com/channel/griitv/live,https://pusat.grii.org/live,20200524,,
1,07.30 WIB,,,https://us02web.zoom.us/j/85049972889?pwd=enRFYUlvaEc4WE4vUWx2MDdUR2RWZz09,"Zoom Meeting ID: 850 4997 2889,
Password: 998714",20200524,Kelas 5 - 6 SD,GRII Kertajaya
1,07.30 WIB,,,http://bit.ly/griisamarindalive,https://youtu.be/jQNrF_5qtRM,20200524,Semua Kelas,Vik. Diana Bunjamin
2,08.00 WIB,,,https://us04web.zoom.us/j/8042815766?pwd=THBtVlVnaUVCeHI4ZVdZSjd3NW9wZz09,"Zoom Meeting ID: 804 281 5766,
Password: 9qvoqu",20200524,Kelas 3 - 4 SD,GRII Kertajaya
1,08.00 WIB,,,https://zoom.us/j/93739008642,Zoom Meeting ID: 937 3900 8642,20200524,Kelas 3 - 4 SD,GRII Pondok Indah
1,08.00 WIB,,,https://zoom.us/j/83597908990,,20200524,Kelas 1 - 2 SD,GRII Denpasar
3,08.00 WIB,,,https://zoom.us/j/93733015842?pwd=VS9VN1hzN1RZblVLcXVFcURoYkxyQT09,,20200524,Kelas Nursery,GRII Singapura
1,08.00 WIB,,,https://zoom.us/j/8950688000,,20200524,Kelas Batita - Balita,GRII Denpasar
4,08.00 WIB,,,https://zoom.us/j/92520761900?pwd=R1c1cFlPYStqeFpLb0pUbWI3UWpKUT09,,20200524,Kelas Besar,GRII Singapura
3,08.00 WIB,,,https://zoom.us/j/92373464058?pwd=TDIwdjliVzZuZ3RjUjI1VVkrWXdudz09,,20200524,Kelas Kecil,GRII Singapura
2,08.00 WIB,,,http://bit.ly/griimalanglive,,20200524,Semua Kelas - Kenaikan Tuhan Yesus,Vik. Nurita Agustina
2,08.00 WIB,,,https://us04web.zoom.us/j/4908583342?pwd=R3hUL1JEeUZIRm96VEF6MWlEY2ZLUT09,"Zoom Meeting ID: 490 858 3342,
Password: 276435",20200524,Kelas Balita,GRII Kertajaya
2,08.30 WIB,,,https://us04web.zoom.us/j/7497584120?pwd=MzBjcmkzS2wvZTJmcXJ2TnFqb0xjdz09,"Zoom Meeting ID: 749 758 4120,
Password: SMK12K6",20200524,Kelas 1 - 2 SD,GRII Kertajaya
5,08.30 WIB,,,https://www.youtube.com/channel/UCnjXgjNw0bImsxw_0DInmDw/live,,20200524,Semua Kelas - Ia Akan Datang Kembali,Vik. Donna Lisa
4,08.30 WIB,,,https://us02web.zoom.us/j/7530305322?pwd=MVlsaS9DRW9qY3FPb05rZFBreXNmQT09,"Zoom Meeting ID: 753 030 5322,
Password: SM2-3th",20200524,Kelas Baduta - Batita,GRII Kertajaya
5,09.00 WIB,REC Singapore English Service,GRII Singapura,https://zoom.us/j/4217078209,Zoom Meeting ID : 421 707 8209,20200524,,
6,09.00 WIB,PA - Konklusi Kehidupan Orang Benar : Apakah Pekerjaanmu Tidak Berarti?,Pdt. Daniel Santoso,Pendaftaran Hubungi WA : https://wa.me/8618507724439,,20200524,,
7,09.30 WIB,Kebaktian Umum - Indonesia,Pdt. Stephen Tong,https://www.youtube.com/c/RELAYRMCI/live,https://pusat.grii.org/live,20200524,,
8,10.30 WIB,English Worship Service,Rev. Michael Densmoor,https://www.youtube.com/c/auvigrii/live,http://pusat.grii.org/ews,20200524,,
3,13.00 WIB,,,https://zoom.us/j/96259161055?pwd=WGhZTFA1WHJPaHlvR3NEaitSQ1Fmdz09,,20200524,Kelas 3 - 4 SD,GRII Singapura
3,13.00 WIB,,,https://zoom.us/j/99206098982,Meeting ID: 992 0609 8982,20200524,Kelas 1 - 2 SD,GRII Pondok Indah
5,13.00 WIB,,,https://zoom.us/j/94230763577?pwd=MDJEbGR1d2FremthNTJnbm9DQWdwdz09,,20200524,Kelas Kindy,GRII Singapura
9,13.30 WIB,Tanya Jawab Umum - GRII Kelapa Gading,"Pdt. Billy Kristanto
Pdt. Jethro Rachmadi",http://bit.ly/griikelapagadinglive,Zoom : https://bit.ly/TANYAJAWABGRIIKG,20200524,,
2,14.00 WIB,,,https://zoom.us/j/96025364410,Meeting ID: 960 2536 4410,20200524,Kelas 5 - 6 SD,GRII Pondok Indah
4,14.00 WIB,,,https://zoom.us/j/8950688000,,20200524,Kelas 3 - 4 SD,GRII Denpasar
3,14.00 WIB,,,https://zoom.us/j/83597908990,,20200524,Kelas 5 - 6 SD,GRII Denpasar
4,14.30 WIB,,,https://zoom.us/j/94043882852?pwd=bFpVTU5QcUlyT2IxaEdkeExGWFl4QT09,,20200524,Kelas 1 - 2 SD,GRII Singapura
4,15.00 WIB,,,https://zoom.us/j/94043882852?pwd=bFpVTU5QcUlyT2IxaEdkeExGWFl4QT09,,20200524,Kelas 5 - 6 SD,GRII Singapura
10,15.00 WIB,REC Singapore Chinese Service,GRII Singapura,https://zoom.us/j/394867503,Zoom Meeting ID : 394 867 503,20200524,,
