No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,20200706,
2,06.30 WIB,PD - Disatukan dalam Roh Kudus,Pdt. Sutjipto Subeno,https://zoom.us/j/2232232211,,20200706,
3,07.00 WIB,"Saat Teduh Bersama - Mata Ganti Mata, Gigi Ganti Gigi (1)",Pdt. Eko Aria,http://bit.ly/griimalanglive,,20200706,
4,08.00 WIB,Belajar Katekismus Heidelberg : Righteous Before God (QA 59-61),Pdt. Billy Kristanto,https://griikg.org/live/,,20200706,
5,09.00 WIB,PA Anak - Apa Isinya Ya? - Ulangan,Vik. Imelda Ginting,http://bit.ly/griicitralive,,20200706,
6,10.00 WIB,Studi Iman Kristen Remaja - Manusia & Dosa,GRII Buaran,"Gratis, wajib daftar : https://bit.ly/SIKR2020",,20200706,
7,16.00 WIB,PA Anak Seri Tokoh II - Pilih Mana Ya? - Paulus : Rugi vs Untung,Ibu Christina Soselisa,http://bit.ly/griikertajayalive,,20200706,
8,17.00 WIB,PD - Kuasa Allah dan Doa,Pdt. Jimmy Pardede,http://bit.ly/griibdglive,,20200706,
10,19.00 WIB,"Seminar - Coram Deo, Klise Orang Kristen? (1)",Pdt. Johanis Putratama Kamuri,https://pusat.grii.org/live,,20200706,
11,19.00 WIB,Persekutuan Doa,GRII Ngagel,https://www.youtube.com/channel/UCm1OFPU4NIkH6iKnDYKnB1A/live,,20200706,
