No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,"Kamis, 11 Juni 2020",
2,06.30 WIB,PD - Three Tales of The Kingdom of God : 1. The Sower,Pdt. Hendra Wijaya,https://zoom.us/j/2232232211,Zoom Meeting ID : 223 223 2211,"Kamis, 11 Juni 2020",
3,07.00 WIB,Saat Teduh Bersama - Saat yang Tidak Terduga,Pdt. Eko Aria,http://bit.ly/griimalanglive,,"Kamis, 11 Juni 2020",
4,08.00 WIB,Belajar Katekismus Heidelberg : Jesus The Only Saviour (QA 29-30),Pdt. Billy Kristanto,https://griikg.org/live/,,"Kamis, 11 Juni 2020",
5,09.00 WIB,Kelas Kamis Pagi,Vik. Maria Mazo,https://www.rec-singapore.org/kelas-kamis-pagi/,https://zoom.us/j/94398168051?pwd=U0svVzlBTkdEdWNxL2tIV1Jib2dkUT09,"Kamis, 11 Juni 2020",
6,14.00 WIB,PA Wanita - Prayer : Does It Make Any Change?,Vik. Mercy Matakupan,http://bit.ly/griibuaranlive,,"Kamis, 11 Juni 2020",
7,16.00 WIB,PA Wanita & Lansia - Kristologi 1 : Kematian Dosa di Dalam Kristus,Pdt. Sutjipto Subeno,https://zoom.us/j/92799816578,Zoom Meeting ID: 927 9981 6578,"Kamis, 11 Juni 2020",
8,16.00 WIB,PA Anak Seri Tokoh - Abraham : Rumah vs Kemah,Ibu Ansye Aotama,http://bit.ly/griicitralive,,"Kamis, 11 Juni 2020",
9,17.00 WIB,PA & PD - Surat Galatia : Kemunafikan Kefas,Pdt. Jimmy Pardede,http://bit.ly/griibdglive,,"Kamis, 11 Juni 2020",
10,17.00 WIB,PA - Kristologi : Natur Manusia Kristus,Bp. Tonny Sutrisno,https://www.youtube.com/user/griicikarang/live,http://us02web.zoom.us/j/83189823625?pwd=YzRkRWpzWWx3cW1yMnVFazkxRnhqZz09,"Kamis, 11 Juni 2020",
13,17.30 WIB,"PD & PA - Berapa Lama Lagi, Tuhan? - Menantikan Keselamatan dari Allah",Pdt. Calvin Bangun,http://bit.ly/griikebonjeruklive,http://grii-semarang.org/live/,"Kamis, 11 Juni 2020",
11,17.30 WIB,PA Umum,Pdt. Elvis Ratta,"Zoom Meeting ID : 814 1867 7067,
 Password : 773355",,"Kamis, 11 Juni 2020",
12,17.30 WIB,PA Umum,Vik. Charles F. Marunduri,https://us02web.zoom.us/j/5520095323?pwd=eTRLVjFnTkZSWHlZNkVkU0JGdzRFZz09,"Zoom Meeting ID : 552 009 5323,
 Password : 1234567","Kamis, 11 Juni 2020",
14,18.00 WIB,PD & PA Pusat (Mandarin - Indonesia),GRII Pusat,https://www.youtube.com/channel/griitv/live,https://livestream.com/stemi/pamandarin,"Kamis, 11 Juni 2020",
15,18.00 WIB,PA Pemuda - Strange Fire : Kesembuhan Ilahi dan Mujizat,Pdt. Daniel Santoso,Pendaftaran hubungi WA : https://wa.me/8618507724439,,"Kamis, 11 Juni 2020",
16,18.00 WIB,Persekutuan Doa,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,"Kamis, 11 Juni 2020",
17,19.00 WIB,Serving God in The Age of Narcissism - Learn from Abraham (bagian 2),Pdt. Ivan Kristiono,https://www.youtube.com/c/RELAYRMCI/live,https://pusat.grii.org/live,"Kamis, 11 Juni 2020",
18,19.00 WIB,PA - Aku Percaya kepada Roh Kudus,Pdt. Billy Kristanto,https://zoom.us/j/88614079700,Zoom Meeting ID : 886 1407 9700,"Kamis, 11 Juni 2020",
19,19.30 WIB,PA - Eksposisi Kitab Kisah Para Rasul (3),"Pdt. Titus Ndoen, 
 Pdt. Handi Gunawan",http://www.grii-bsd.org/live/,,"Kamis, 11 Juni 2020",
20,20.00 WIB,Ibadah Keluarga -,GRII Kelapa Gading,https://griikg.org/live/,,"Kamis, 11 Juni 2020",
21,20.00 WIB,Prayer Night (English Worship Service),Rev. Michael Densmoor,https://us02web.zoom.us/j/83607820171,Zoom Meeting ID : 836 0782 0171,"Kamis, 11 Juni 2020",
