No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia,Pengkhotbah / Cabang
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,"Minggu, 17 Mei 2020",,
2,06.30 WIB,Kebaktian Umum,Pdt. Budy Setiawan,http://bit.ly/griimelbournelive,,"Minggu, 17 Mei 2020",,
3,07.00 WIB,Kebaktian Umum,Pdt. Agus Marjanto,https://www.griisydney.org/relay-live/,,"Minggu, 17 Mei 2020",,
4,07.30 WIB,Kebaktian Umum - Mandarin (中文),Pdt. Stephen Tong,https://www.youtube.com/channel/griitv/live,https://pusat.grii.org/live,"Minggu, 17 Mei 2020",,
1,07.30 WIB,,,https://us04web.zoom.us/j/73229646755?pwd=dHZaWkJxUTZ1MFFxQ0h0dm4reWRTZz09,"Zoom Meeting ID: 732 2964 6755,
Password: 2hxd0N","Minggu, 17 Mei 2020",Kelas 5 - 6 SD,GRII Kertajaya
1,07.30 WIB,,,http://bit.ly/griisamarindalive,,"Minggu, 17 Mei 2020",Semua Kelas,GRII Samarinda
2,08.00 WIB,,,https://us04web.zoom.us/j/8042815766?pwd=THBtVlVnaUVCeHI4ZVdZSjd3NW9wZz09,"Zoom Meeting ID: 804 281 5766,
Password: 9qvoqu","Minggu, 17 Mei 2020",Kelas 3 - 4 SD,GRII Kertajaya
1,08.00 WIB,,,https://zoom.us/j/93739008642,Zoom Meeting ID: 937 3900 8642,"Minggu, 17 Mei 2020",Kelas 3 - 4 SD,GRII Pondok Indah
1,08.00 WIB,,,https://zoom.us/j/83597908990,,"Minggu, 17 Mei 2020",Kelas 1 - 2 SD,GRII Denpasar
3,08.00 WIB,,,https://zoom.us/j/93733015842?pwd=VS9VN1hzN1RZblVLcXVFcURoYkxyQT09,,"Minggu, 17 Mei 2020",Kelas Nursery,GRII Singapura
1,08.00 WIB,,,https://zoom.us/j/8950688000,,"Minggu, 17 Mei 2020",Kelas Batita - Balita,GRII Denpasar
4,08.00 WIB,,,https://zoom.us/j/92520761900?pwd=R1c1cFlPYStqeFpLb0pUbWI3UWpKUT09,,"Minggu, 17 Mei 2020",Kelas Besar,GRII Singapura
3,08.00 WIB,,,https://zoom.us/j/92373464058?pwd=TDIwdjliVzZuZ3RjUjI1VVkrWXdudz09,,"Minggu, 17 Mei 2020",Kelas Kecil,GRII Singapura
2,08.00 WIB,,,http://bit.ly/griimalanglive,,"Minggu, 17 Mei 2020",Semua Kelas,Vik. Agustina
2,08.00 WIB,,,https://us04web.zoom.us/j/2481694144?pwd=TXNWa1NjWjZoTEowUm1jend2UFYwZz09,"Zoom Meeting ID: 248 169 4144,
Password: jjbs4675","Minggu, 17 Mei 2020",Kelas Balita,GRII Kertajaya
2,08.30 WIB,,,https://us04web.zoom.us/j/7497584120?pwd=VjI3RW5QR3J6L2hJam8zMDd6cUh0dz09,"Zoom Meeting ID: 749 758 4120,
Password: SMK12","Minggu, 17 Mei 2020",Kelas 1 - 2 SD,GRII Kertajaya
4,08.30 WIB,,,https://us02web.zoom.us/j/77005867646?pwd=RjVtVTdJSzhVdndobURQUWZLZW8vdz09,"Zoom Meeting ID: 770 0586 7646,
Password: 018008","Minggu, 17 Mei 2020",Kelas Baduta - Batita,GRII Kertajaya
5,09.00 WIB,REC Singapore English Service,GRII Singapura,https://zoom.us/j/4217078209,Zoom Meeting ID : 421 707 8209,"Minggu, 17 Mei 2020",,
6,09.00 WIB,PA - Konklusi Kehidupan Orang Benar : Ada Waktu untuk Semuanya!,Pdt. Daniel Santoso,Zoom Meeting ID belum ada,Pendaftaran Hubungi WA : https://wa.me/8618507724439,"Minggu, 17 Mei 2020",,
7,09.30 WIB,Kebaktian Umum - Indonesia,Pdt. Stephen Tong,https://www.youtube.com/c/RELAYRMCI/live,https://pusat.grii.org/live,"Minggu, 17 Mei 2020",,
8,10.30 WIB,English Worship Service,Rev. Michael Densmoor,https://www.youtube.com/c/auvigrii/live,http://pusat.grii.org/ews,"Minggu, 17 Mei 2020",,
