No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,"Minggu, 31 Mei 2020",
2,06.10 WIB,Persekutuan Doa + Kebaktian Umum,Pdt. Budy Setiawan,http://bit.ly/griimelbournelive,,"Minggu, 31 Mei 2020",
3,07.00 WIB,Kebaktian Umum,Pdt. Agus Marjanto,https://www.griisydney.org/relay-live/,,"Minggu, 31 Mei 2020",
4,07.30 WIB,Kebaktian Umum - Mandarin,Pdt. Stephen Tong,https://www.youtube.com/channel/GRIITV/live,https://pusat.grii.org/live,"Minggu, 31 Mei 2020",
5,07.30 WIB,Kebaktian Keluarga - Pentakosta,"Pdt. Eko Aria,
Vik. Nurita Agustina",http://bit.ly/griimalanglive,,"Minggu, 31 Mei 2020",
1,07.30 WIB,,Vik. Diana Bunjamin,http://bit.ly/griisamarindalive,,"Minggu, 31 Mei 2020",Semua Kelas
1,07.30 WIB,,GRII Kertajaya,https://us02web.zoom.us/j/84707616179?pwd=eUhHYVplWkdCV3B1T3lhUEVXZEJvZz09,"Zoom Meeting ID: 847 0761 6179,
Password: 431215","Minggu, 31 Mei 2020",Kelas 5 - 6 SD
3,08.00 WIB,,GRII Singapura,https://zoom.us/j/93733015842?pwd=VS9VN1hzN1RZblVLcXVFcURoYkxyQT09,,"Minggu, 31 Mei 2020",Kelas Nursery
2,08.00 WIB,,GRII Kertajaya,https://us02web.zoom.us/j/8068672658?pwd=NTZsYThGSnNxR1ZsUlpYL0oxSW00Zz09,"Zoom Meeting ID: 806 867 2658,
Password: q12345678","Minggu, 31 Mei 2020",Kelas Balita
1,08.00 WIB,,GRII Denpasar,https://zoom.us/j/8950688000,,"Minggu, 31 Mei 2020",Kelas Batita - Balita
3,08.00 WIB,,GRII Singapura,https://zoom.us/j/92520761900?pwd=R1c1cFlPYStqeFpLb0pUbWI3UWpKUT09,,"Minggu, 31 Mei 2020",Kelas Besar
2,08.00 WIB,,GRII Singapura,https://zoom.us/j/92373464058?pwd=TDIwdjliVzZuZ3RjUjI1VVkrWXdudz09,,"Minggu, 31 Mei 2020",Kelas Kecil
1,08.00 WIB,,GRII Pondok Indah,https://zoom.us/j/93739008642,Zoom Meeting ID: 937 3900 8642,"Minggu, 31 Mei 2020",Kelas 3 - 4 SD
2,08.00 WIB,,GRII Kertajaya,https://us04web.zoom.us/j/79567773310?pwd=UDBpdWpkcFcxUm03TE5zUEI1QnRDUT09,"Zoom Meeting ID: 795 6777 3310,
Password: 1qhme6","Minggu, 31 Mei 2020",Kelas 3 - 4 SD
1,08.00 WIB,,GRII Denpasar,https://zoom.us/j/83597908990,,"Minggu, 31 Mei 2020",Kelas 1 - 2 SD
6,08.00 WIB,PA - Belajar Katekismus Heidelberg : Unjust God? (Q&A 9-11),Pdt. Billy Kristanto,https://griikg.org/live/,,"Minggu, 31 Mei 2020",
2,08.30 WIB,,GRII Kertajaya,https://us04web.zoom.us/j/7497584120?pwd=eHVsQmxKTnRQWTdHNTEzUUxCd01WQT09,"Zoom Meeting ID: 749 758 4120,
Password: SMK12K7","Minggu, 31 Mei 2020",Kelas 1 - 2 SD
4,08.30 WIB,,Vik. Donna Lisa,https://www.youtube.com/channel/UCnjXgjNw0bImsxw_0DInmDw/live,,"Minggu, 31 Mei 2020",Semua Kelas
4,08.30 WIB,,GRII Kertajaya,https://us02web.zoom.us/j/7530305322?pwd=ejlUMkw1V2hzN1l6R3VxY0dwZm9KZz09,"Zoom Meeting ID: 753 030 5322,
Password: 111829","Minggu, 31 Mei 2020",Kelas Baduta - Batita
8,09.00 WIB,PA - Konklusi Kehidupan Orang Benar : Aku dan Ibadahku,Pdt. Daniel Santoso,Pendaftaran Hubungi WA : https://wa.me/8618507724439,,"Minggu, 31 Mei 2020",
7,09.00 WIB,REC Singapore English Service,GRII Singapura,https://zoom.us/j/4217078209,Zoom Meeting ID : 421 707 8209,"Minggu, 31 Mei 2020",
9,09.30 WIB,Kebaktian Umum - Indonesia,Pdt. Stephen Tong,https://www.youtube.com/c/RELAYRMCI/live,https://pusat.grii.org/live,"Minggu, 31 Mei 2020",
10,10.30 WIB,English Worship Service,Rev. Michael Densmoor,https://www.youtube.com/c/auvigrii/live,http://pusat.grii.org/ews,"Minggu, 31 Mei 2020",
5,13.00 WIB,,GRII Singapura,https://zoom.us/j/94230763577?pwd=MDJEbGR1d2FremthNTJnbm9DQWdwdz09,,"Minggu, 31 Mei 2020",Kelas Kindy
3,13.00 WIB,,GRII Pondok Indah,https://zoom.us/j/99206098982,Meeting ID: 992 0609 8982,"Minggu, 31 Mei 2020",Kelas 1 - 2 SD
3,13.00 WIB,,GRII Singapura,https://zoom.us/j/96259161055?pwd=WGhZTFA1WHJPaHlvR3NEaitSQ1Fmdz09,,"Minggu, 31 Mei 2020",Kelas 3 - 4 SD
11,13.30 WIB,Tanya Jawab Umum - GRII Kelapa Gading,"Pdt. Billy Kristanto,
Pdt. Jethro Rachmadi",https://griikg.org/live/,Zoom : https://bit.ly/TANYAJAWABGRIIKG,"Minggu, 31 Mei 2020",
2,14.00 WIB,,GRII Pondok Indah,https://zoom.us/j/96025364410,Meeting ID: 960 2536 4410,"Minggu, 31 Mei 2020",Kelas 5 - 6 SD
3,14.00 WIB,,GRII Denpasar,https://zoom.us/j/83597908990,,"Minggu, 31 Mei 2020",Kelas 5 - 6 SD
4,14.00 WIB,,GRII Denpasar,https://zoom.us/j/8950688000,,"Minggu, 31 Mei 2020",Kelas 3 - 4 SD
4,14.30 WIB,,GRII Singapura,https://zoom.us/j/94043882852?pwd=bFpVTU5QcUlyT2IxaEdkeExGWFl4QT09,,"Minggu, 31 Mei 2020",Kelas 1 - 2 SD
5,15.00 WIB,,Vik. Sely Siwalette,https://www.youtube.com/watch?v=oR2Vx_sjYT8,http://grii-semarang.org/live,"Minggu, 31 Mei 2020",Semua Kelas - Knowing God : Allah yang Kudus
4,15.00 WIB,,GRII Singapura,https://zoom.us/j/98292000805?pwd=ais0WmxvYnNGME9sTjNzSE84OWpMdz09,,"Minggu, 31 Mei 2020",Kelas 5 - 6 SD
12,15.00 WIB,REC Singapore Chinese Service,GRII Singapura,https://zoom.us/j/394867503,Zoom Meeting ID : 394 867 503,"Minggu, 31 Mei 2020",
7,16.00 WIB,,GRII BSD & MRII GS,https://www.youtube.com/watch?v=8_HKBqkWL0w,,"Minggu, 31 Mei 2020",Kelas Batita - Balita
6,16.00 WIB,,GRII Pondok Indah,https://zoom.us/j/93958112734,Meeting ID: 939 5811 2734,"Minggu, 31 Mei 2020",Kelas Balita - Pra-SD
5,16.00 WIB,,GRII BSD & MRII GS,https://www.youtube.com/watch?v=tvU1L1PHlBc,,"Minggu, 31 Mei 2020",Kelas 1 - 3 SD
14,16.00 WIB,PA - 10 Days Around The Ancient World with Paul : Paul's Missions - Introduction,Pdt. Aiter,http://bit.ly/griicitralive,,"Minggu, 31 Mei 2020",
13,16.00 WIB,"Kebaktian Umum (Siaran Ulang Mandarin, Indonesia, dan Inggris)",GRII Pusat,https://pusat.grii.org/live,https://livestream.com/stemi,"Minggu, 31 Mei 2020",
8,16.00 WIB,,GRII Singapura,https://zoom.us/j/98965112638?pwd=dUx5VjUyMzJEVy9ESXBSR2l3MXBTUT09,,"Minggu, 31 Mei 2020",Kelas Toddler
