No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,"Minggu, 7 Juni 2020",
2,06.10 WIB,Persekutuan Doa + Kebaktian Umum,Pdt. Budy Setiawan,http://bit.ly/griimelbournelive,,"Minggu, 7 Juni 2020",
3,07.00 WIB,Kebaktian Umum - Api yang Tidak Dapat Dipadamkan - John Flavel : Kristus Mata Air Kehidupan,Pdt. Agus Marjanto,https://www.griisydney.org/relay-live/,,"Minggu, 7 Juni 2020",
1,07.00 WIB,,MRII Balikpapan,"Zoom Meeting ID : 850 5725 5193,
Password : 503729",,"Minggu, 7 Juni 2020",Kelas Besar
4,07.30 WIB,Kebaktian Umum - Mandarin,Pdt. Stephen Tong,https://www.youtube.com/channel/GRIITV/live,https://pusat.grii.org/live,"Minggu, 7 Juni 2020",
1,07.30 WIB,,GRII Kertajaya,https://us02web.zoom.us/j/81981650839?pwd=Um9RU29qdEVWYkxVMTAzclpNclNkZz09,"Zoom Meeting ID: 819 8165 0839,
Password: 839732","Minggu, 7 Juni 2020",Kelas 5 - 6 SD
2,07.30 WIB,,Vik. Diana Bunjamin,http://bit.ly/griisamarindalive,,"Minggu, 7 Juni 2020",Semua Kelas
2,08.00 WIB,,GRII Kertajaya,https://us04web.zoom.us/j/8042815766?pwd=THBtVlVnaUVCeHI4ZVdZSjd3NW9wZz09,"Zoom Meeting ID: 804 281 5766,
Password: 9qvoqu","Minggu, 7 Juni 2020",Kelas 3 - 4 SD
1,08.00 WIB,,GRII Pondok Indah,https://zoom.us/j/93739008642,Zoom Meeting ID: 937 3900 8642,"Minggu, 7 Juni 2020",Kelas 3 - 4 SD
1,08.00 WIB,,GRII Denpasar,https://zoom.us/j/83597908990,,"Minggu, 7 Juni 2020",Kelas 1 - 2 SD
2,08.00 WIB,,GRII Kertajaya,https://us04web.zoom.us/j/79492111496?pwd=MHRGVHFIbjcwbUxuRWhib1FXanpvQT09,"Zoom Meeting ID: 794 9211 1496,
Password: 7TujCS","Minggu, 7 Juni 2020",Kelas Balita
1,08.00 WIB,,GRII Denpasar,https://zoom.us/j/8950688000,,"Minggu, 7 Juni 2020",Kelas Batita - Balita
3,08.00 WIB,,Vik. Nurita Agustina,http://bit.ly/griimalanglive,,"Minggu, 7 Juni 2020",Semua Kelas - Perjalanan Misi Paulus ke-2
5,08.00 WIB,Belajar Katekismus Heidelberg - Trinitarian Structure of The Creed (QA 24 -25),Pdt. Billy Kristanto,https://griikg.org/live/,,"Minggu, 7 Juni 2020",
4,08.15 WIB,,MRII Balikpapan,"Zoom Meeting ID : 832 1822 9309,
Password : 201571",,"Minggu, 7 Juni 2020",Kelas Kecil
3,08.30 WIB,,GRII Kertajaya,https://us02web.zoom.us/j/7530305322?pwd=ejlUMkw1V2hzN1l6R3VxY0dwZm9KZz09,"Zoom Meeting ID: 753 030 5322,
Password: 111829","Minggu, 7 Juni 2020",Kelas Baduta - Batita
2,08.30 WIB,,GRII Kertajaya,https://us04web.zoom.us/j/7497584120?pwd=ODZ5T0tVNXNQaEdUbHVrYlQ3K1lmZz09,"Zoom Meeting ID: 749 758 4120,
Password: SM12K8","Minggu, 7 Juni 2020",Kelas 1 - 2 SD
5,08.30 WIB,,Vik. Donna Lisa,https://www.youtube.com/channel/UCnjXgjNw0bImsxw_0DInmDw/live,,"Minggu, 7 Juni 2020",Semua Kelas
6,09.00 WIB,REC Singapore English Service,GRII Singapura,https://zoom.us/j/4217078209,Zoom Meeting ID : 421 707 8209,"Minggu, 7 Juni 2020",
7,09.00 WIB,PA - Konklusi Kehidupan : Aku dan Berhalaku,Pdt. Daniel Santoso,Pendaftaran Hubungi WA : https://wa.me/6281211626422,,"Minggu, 7 Juni 2020",
8,09.30 WIB,Kebaktian Umum - Indonesia,Pdt. Stephen Tong,https://www.youtube.com/c/RELAYRMCI/live,https://pusat.grii.org/live,"Minggu, 7 Juni 2020",
9,10.30 WIB,English Worship Service,Rev. Michael Densmoor,https://www.youtube.com/c/auvigrii/live,http://pusat.grii.org/ews,"Minggu, 7 Juni 2020",
10,13.00 WIB,Tanya Jawab GRII Bandung - Tema : Manhood and Womanhood,Pdt. Jimmy Pardede,http://bit.ly/griibdglive,Zoom meeting ID : 752 658 9398,"Minggu, 7 Juni 2020",
3,13.00 WIB,,GRII Pondok Indah,https://zoom.us/j/99206098982,Meeting ID: 992 0609 8982,"Minggu, 7 Juni 2020",Kelas 1 - 2 SD
11,13.30 WIB,Tanya Jawab Umum - GRII Kelapa Gading,"Pdt. Billy Kristanto,
Pdt. Jadi S. Lima",https://griikg.org/live/,Zoom : https://bit.ly/TANYAJAWABGRIIKG,"Minggu, 7 Juni 2020",
3,14.00 WIB,,GRII Denpasar,https://zoom.us/j/83597908990,,"Minggu, 7 Juni 2020",Kelas 5 - 6 SD
3,14.00 WIB,,GRII Denpasar,https://zoom.us/j/8950688000,,"Minggu, 7 Juni 2020",Kelas 3 - 4 SD
2,14.00 WIB,,GRII Pondok Indah,https://zoom.us/j/96025364410,Meeting ID: 960 2536 4410,"Minggu, 7 Juni 2020",Kelas 5 - 6 SD
6,15.00 WIB,,Vik. Joshua Siwalette,http://grii-semarang.org/live,http://griikebonjeruk.org/live/,"Minggu, 7 Juni 2020",Semua Kelas - Mengenal Kristus : Kristus Sang Raja
12,15.00 WIB,REC Singapore Chinese Service,GRII Singapura,https://zoom.us/j/394867503,Zoom Meeting ID : 394 867 503,"Minggu, 7 Juni 2020",
4,16.00 WIB,,GRII BSD & MRII GS,http://www.grii-bsd.org/live/,,"Minggu, 7 Juni 2020",Kelas 1 - 3 SD
14,16.00 WIB,PA - 10 Days Around The Ancient World with Paul : Paul's Journey to Rome #1,Pdt. Aiter,http://bit.ly/griicitralive,Peta perjalanan (di brosur) : https://drive.google.com/drive/folders/1-ux9sTbmh4_0RpenUB9b2YGw1o0YfuBM?usp=sharing,"Minggu, 7 Juni 2020",
4,16.00 WIB,,GRII Pondok Indah,https://zoom.us/j/93958112734,Meeting ID: 939 5811 2734,"Minggu, 7 Juni 2020",Kelas Balita - Pra-SD
13,16.00 WIB,"Kebaktian Umum (Siaran Ulang Mandarin, Indonesia, dan Inggris)",GRII Pusat,https://pusat.grii.org/live,https://livestream.com/stemi,"Minggu, 7 Juni 2020",
