No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,bit.ly/griisamarindalive,,"Rabu, 29 April 2020",
2,07.00 WIB,Saat Teduh Bersama - Kerajaan Allah dan Doa (1),Pdt. Eko Aria,http://bit.ly/griimalanglive,https://www.youtube.com/watch?v=5aRnFkSrefg,"Rabu, 29 April 2020",
3,09.00 WIB,PA Wanita - Orang Tua dan Anak,Vik. Febrilia,https://www.youtube.com/watch?v=srQGq3HB_pk,,"Rabu, 29 April 2020",
4,10.00 WIB,PA Wanita & Lansia - Kebangkitan Kristus dan Kebangkitan Orang Percaya (2),Vik. Grace Kamuri,http://bit.ly/mriidepoklive,griidepok.com/live,"Rabu, 29 April 2020",
5,12.00 WIB,Movie Discussion - Les Misérables,PRII Tokyo,"Wajib mendaftar, link di kolom keterangan",https://zoom.us/meeting/register/tJ0scOmurD0rGtfJRRfa3MUHQAISpAVUkUrf,"Rabu, 29 April 2020",
6,13.00 WIB,"Pembinaan Siswa - Wahyu Khusus : Alkitab, Kanonisasi Alkitab, dan Prinsip Menafsirkan Alkitab",Pdt. Romeo Mazo,youtu.be/z-c9RXVwv-E,https://www.youtube.com/channel/UCCKnd2CHoBHeb8YNDGOrlWw/live,"Rabu, 29 April 2020",
7,16.30 WIB,"PD & PA - Mazmur-Mazmur Pengharapan - Tuhan yang Membangun Rumah, Gunung Sion yang Tidak Goyang",Pdt. Calvin Bangun,http://bit.ly/griikebonjeruklive,,"Rabu, 29 April 2020",
8,16.30 WIB,PA - Kitab Injil & Kisah Para Rasul #4 - Injil Markus : Keunikan,Pdt. Aiter,http://bit.ly/griicitralive,,"Rabu, 29 April 2020",
9,17.00 WIB,PA - Eksposisi Injil di dalam Kisah Yusuf (11) - Ujian Menuju Rekonsiliasi,Pdt. Aludin Yauw,youtu.be/glH_jithO5k,https://www.youtube.com/channel/UCnjXgjNw0bImsxw_0DInmDw/live,"Rabu, 29 April 2020",
10,18.30 WIB,Persekutuan Doa,Pdt. Eko Aria,http://bit.ly/griimalanglive,,"Rabu, 29 April 2020",
11,18.30 WIB,Persekutuan Doa,GRII Singapura,https://zoom.us/j/96970546878?pwd=NXk3WlZESElxNkIwVGx6dGxFZDhIdz09,https://www.rec-singapore.org/persekutuan-doa/,"Rabu, 29 April 2020",
12,19.00 WIB,Seminar - The Church in A Secular Age,Pdt. Ivan Kristiono,https://www.youtube.com/channel/UC6kdcxhW_oXHgHl25i95moA/live,livestream.com/stemi/seminarkusore,"Rabu, 29 April 2020",
13,19.00 WIB,PD - Keindahan Doktrin Kristen : Predestinasi,Pdt. Jimmy Pardede,http://bit.ly/griibdglive,griibandung.org/live,"Rabu, 29 April 2020",
14,19.30 WIB,PA - Introduksi Surat Roma,Pdt. Billy Kristanto,https://www.youtube.com/channel/UC7WyIRn5glhWW75lat3OP8w/live,Melalui Zoom : https://zoom.us/j/95986458887,"Rabu, 29 April 2020",
