No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,"Rabu, 3 Juni 2020",
2,07.00 WIB,Saat Teduh Bersama - Logika Pengampunan,Pdt. Eko Aria,http://bit.ly/griimalanglive,,"Rabu, 3 Juni 2020",
3,08.00 WIB,PA - Belajar Katekismus Heidelberg : Payment for God's Justice (Q&A 12-15),Pdt. Billy Kristanto,https://griikg.org/live/,,"Rabu, 3 Juni 2020",
4,09.00 WIB,PA Wanita - Sesi Q & A,Pdt. Titus Ndoen,http://www.grii-bsd.org/live/,,"Rabu, 3 Juni 2020",
5,10.00 WIB,PA Wanita & Lansia - Pengharapan di Tengah Ketandusan Padang Gurun,Vik. Grace Kamuri,http://bit.ly/mriidepoklive,,"Rabu, 3 Juni 2020",
6,10.00 WIB,Panggung Boneka - Seri Tokoh Sejarah Gereja. Eps 1 - Agustinus,Pdt. Jimmy Pardede,http://bit.ly/tokohsejarahgereja,,"Rabu, 3 Juni 2020",
7,15.30 WIB,Persekutuan Doa - Love Your Church For Your God,Pdt. Budy Setiawan,https://bit.ly/irec-melb,,"Rabu, 3 Juni 2020",
8,16.00 WIB,PA - 10 Days Around The Ancient World with Paul : Paul's Second Mission #1,Pdt. Aiter,http://bit.ly/griicitralive,Peta perjalanan (di brosur) : https://drive.google.com/drive/folders/1-ux9sTbmh4_0RpenUB9b2YGw1o0YfuBM?usp=sharing,"Rabu, 3 Juni 2020",
13,17.00 WIB,PA - Apresiasi Buku Teologi : The Lamb and The Führer (1),Vik. Stenly Y. Lailewan,Live FB : https://www.facebook.com/Mimbar-Reformed-Injili-Indonesia-Bogor-104262257972271,"Untuk Zoom Meeting ID, hubungi WA : https://wa.me/6281949177662","Rabu, 3 Juni 2020",
11,17.00 WIB,PA - Eksposisi Injil di dalam Kisah Yusuf (16),Pdt. Aludin Yauw,https://www.youtube.com/channel/UCnjXgjNw0bImsxw_0DInmDw/live,,"Rabu, 3 Juni 2020",
12,17.00 WIB,"Seminar - Jepang & Kekristenan - Sejarah Jepang : Tokugawa; Meiji, Taisho; Post-WW II",Vik. Erianto,"Via Zoom, meeting ID hubungi WA : https://wa.me/819093856417",Atau DM via Instagram : https://www.instagram.com/irectokyo/,"Rabu, 3 Juni 2020",
9,17.00 WIB,PA & PD - Iman Kristen yang Bertumbuh : Tanggung Jawab dari Tuhan,Pdt. Jimmy Pardede,http://bit.ly/griibdglive,,"Rabu, 3 Juni 2020",
10,17.00 WIB,PA - Ruth : Pekerjaan Tuhan Dalam Mode Survival,Pdt. Jadi S. Lima,https://griikg.org/live/,Zoom : https://bit.ly/PAUMUMGRIIKG,"Rabu, 3 Juni 2020",
14,17.30 WIB,PD & PA - Tuhan Itu Baik Tetapi Penuh Kehangatan Amarah : Hati Menjadi Tawar & Lutut Goyah,Pdt. Calvin Bangun,http://bit.ly/griikebonjeruklive,http://grii-semarang.org/live/,"Rabu, 3 Juni 2020",
15,18.00 WIB,PD - Problema Manusia : Problema Kegelisahan,Vik. Thermanto D. S. Samosir,http://tinyurl.com/GRIIDenpasar,https://zoom.us/j/8950688000,"Rabu, 3 Juni 2020",
16,18.00 WIB,Persekutuan Doa,GRII Singapura,https://zoom.us/j/96970546878?pwd=NXk3WlZESElxNkIwVGx6dGxFZDhIdz09,https://www.rec-singapore.org/persekutuan-doa/,"Rabu, 3 Juni 2020",
17,18.30 WIB,Persekutuan Doa,GRII Malang,http://bit.ly/griimalanglive,,"Rabu, 3 Juni 2020",
18,18.30 WIB,Persekutuan Doa,MRII Yogyakarta,https://www.youtube.com/channel/UC80oQtdBBS3WmZAVPvopNyA/live,,"Rabu, 3 Juni 2020",
19,18.45 WIB,PA & PD - Kasihilah Tuhan Allahmu dan Kasihilah Sesamamu (part 5),Pdt. Solomon Yo,https://www.youtube.com/channel/UCFE3pw9E5_XhSdbpylHg87A/live,https://us02web.zoom.us/j/89346687402,"Rabu, 3 Juni 2020",
20,19.00 WIB,SPIK 1994 - Dinamika Hidup dalam Pimpinan Roh Kudus (bagian 3),Pdt. Stephen Tong,https://www.youtube.com/c/RELAYRMCI/live,https://pusat.grii.org/live,"Rabu, 3 Juni 2020",
22,19.00 WIB,"PA - Kejadian : Sejarah, Mitos, atau Legenda? (1)",Pdt. Christiady Cohen,https://zoom.us/j/156871211,,"Rabu, 3 Juni 2020",
23,19.30 WIB,Persekutuan Doa,MRII Bandar Lampung,https://us02web.zoom.us/j/9831419595,Zoom Meeting ID : 983 141 9595,"Rabu, 3 Juni 2020",
24,19.30 WIB,Persekutuan Doa,GRII BSD,http://www.grii-bsd.org/live/,,"Rabu, 3 Juni 2020",
