No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,"Sabtu, 30 Mei 2020",
2,06.30 WIB,Persekutuan Doa Pusat,GRII Pusat,https://www.youtube.com/c/RELAYRMCI/live,https://pusat.grii.org/live,"Sabtu, 30 Mei 2020",
3,06.30 WIB,PD - Kebutuhan Pengenalan akan Allah,Pdt. Sutjipto Subeno,https://zoom.us/j/2232232211,Zoom Meeting ID : 223 223 2211,"Sabtu, 30 Mei 2020",
4,06.30 WIB,Persekutuan Doa,GRII BSD,http://www.grii-bsd.org/live/,,"Sabtu, 30 Mei 2020",
5,07.00 WIB,Saat Teduh Bersama - Domba yang Hilang,Pdt. Eko Aria,http://bit.ly/griimalanglive,,"Sabtu, 30 Mei 2020",
6,07.00 WIB,Persekutuan Doa,GRII Pondok Indah,https://zoom.us/j/97578233474,Zoom Meeting ID: 975 7823 3474,"Sabtu, 30 Mei 2020",
7,07.00 WIB,Persekutuan Doa,GRII Karawaci,https://zoom.us/j/98538361319,Zoom Meeting ID : 985 3836 1319,"Sabtu, 30 Mei 2020",
8,07.00 WIB,Persekutuan Doa,MRII Makassar,"Zoom Meeting ID : 552 009 5323,
 Password : 1234567",,"Sabtu, 30 Mei 2020",
9,07.00 WIB,Persekutuan Doa,Vik. Stenly Y. Lailewan,https://www.facebook.com/Mimbar-Reformed-Injili-Indonesia-Bogor-104262257972271,,"Sabtu, 30 Mei 2020",
10,07.30 WIB,Persekutuan Doa,MRII PIK,https://zoom.us/j/335979844,,"Sabtu, 30 Mei 2020",
11,08.30 WIB,Tanya Jawab Umum - GRII Karawaci,"Pdt. David Tong, 
Pdt. Budi Sutrisno",https://www.youtube.com/watch?v=BI_8ljTaT40,,"Sabtu, 30 Mei 2020",
12,08.30 WIB,PA Dewasa Muda - The Old Testament Church?,GRII Melbourne,https://myaf.online/zoom,,"Sabtu, 30 Mei 2020",
13,10.00 WIB,PA Anak - Kedatangan Roh Penghibur,Vik. Grace Kamuri,http://bit.ly/mriidepoklive,,"Sabtu, 30 Mei 2020",
14,11.00 WIB,PA Anak - Kuasa Pelayanan,Sdri. Feby Novitania,http://bit.ly/griipalembanglive,,"Sabtu, 30 Mei 2020",
15,11.00 WIB,Persekutuan Doa,Pdt. Agus Marjanto,https://us02web.zoom.us/j/88399950425?pwd=ck53UG5GM2tRYUZIL3VPdnhGa2N6QT09,"Harap klik link yang tertera, karena ada passwordnya. Informasi : http://www.griisydney.org/","Sabtu, 30 Mei 2020",
16,13.00 WIB,Persekutuan Pemuda & Pekerja,Pdt. Agus Marjanto,https://us02web.zoom.us/j/89299157631?pwd=MXRLd0JsME53c2dZTExTemlHVS9zdz09,,"Sabtu, 30 Mei 2020",
17,13.00 WIB,PA Anak - Aku Menyertai Engkau,Pdt. Jimmy Pardede,http://bit.ly/griibdglive,,"Sabtu, 30 Mei 2020",
18,14.00 WIB,PA Wanita - Women of the Word,REC Jakarta,Pendaftaran hubungi WA : https://wa.me/628121051985,,"Sabtu, 30 Mei 2020",
19,14.00 WIB,PA Remaja,GRII Singapura,https://zoom.us/j/98185321952?pwd=NVNKLzFqdFFEMDBwcXJkdWpiQzBadz09,,"Sabtu, 30 Mei 2020",
20,15.00 WIB,PA Remaja & Pemuda - Back to Our Confessions : Faith & Repentance - Daily Christian Struggles,"Sdr. Alfret Y. Tadjo Talo,
Sdr. Doni H. Harianja",https://zoom.us/j/8434545367,Live via FB : http://facebook.com/mrii.depok,"Sabtu, 30 Mei 2020",
21,16.00 WIB,Seminar Orang Tua - Christian Household,Pdt. Ivan Kristiono,https://livestream.com/stemi/skcseminarortu,,"Sabtu, 30 Mei 2020",
22,16.00 WIB,PA Pemuda & Pekerja - Wise Living : Pentecost,Pdt. Jethro Rachmadi,https://griikg.org/live/,Zoom : http://bit.ly/PAPPGRIIKG,"Sabtu, 30 Mei 2020",
23,16.00 WIB,Persekutuan Doa,GRII Buaran,http://bit.ly/griibuaranlive,,"Sabtu, 30 Mei 2020",
24,16.00 WIB,PA Remaja - Westminster Shorter Cathecism : Question 5,Pdt. Amin Khouw,http://bit.ly/griipalembanglive,,"Sabtu, 30 Mei 2020",
25,16.00 WIB,PA Remaja - Darah yang Bersuara,GRII Bintaro,https://us02web.zoom.us/j/83480265669?pwd=YXpqeTlyaGJDSS9BVjFuZ0g1L0JVQT09,,"Sabtu, 30 Mei 2020",
26,16.00 WIB,PA Pemuda - Kristus dalam Ratapan,Pdt. Budi Sutrisno,"Zoom Meeting ID : 945 9182 1998,
Password : pemuda",,"Sabtu, 30 Mei 2020",
27,16.00 WIB,PA Remaja,GRII Andhika,https://us02web.zoom.us/j/83690102749,,"Sabtu, 30 Mei 2020",
28,16.00 WIB,Seminar - Kuduslah Kamu Sebab Aku Kudus,Vik. Jack Kawira,http://bit.ly/Seminar-30Mei,"Zoom Meeting ID : 889 0266 5987,
Password : 001501","Sabtu, 30 Mei 2020",
29,16.45 WIB,PA Pemuda - Irrational Grace,GRII BSD,https://zoom.us/j/2425743816,Zoom Meeting ID : 242 574 3816,"Sabtu, 30 Mei 2020",
35,17.00 WIB,PA Pemuda,Pdt. Elvis Ratta,"Zoom Meeting ID : 820 4440 4103,
 Password : 008396",,"Sabtu, 30 Mei 2020",
34,17.00 WIB,PA Pemuda - Yesus Tuan Gereja,Pdt. Dawis Waiman,http://bit.ly/mriiyogya,Zoom Meeting ID : 365 462 6283,"Sabtu, 30 Mei 2020",
33,17.00 WIB,PA - Keselamatan Sebagai Anugerah atau Usaha Manusia,Pdt. Tumpal Hutahaean,https://www.youtube.com/user/griicikarang/live,,"Sabtu, 30 Mei 2020",
30,17.00 WIB,Konser - Gamelan Highlights : Impressions Universelles,Aula Simfonia Jakarta,https://www.youtube.com/channel/UCE10jo6n5pX_oLraRBL-AYg,,"Sabtu, 30 Mei 2020",
31,17.00 WIB,PA Pemuda - Hermeneutics of Life,Pdt. Jimmy Pardede,http://bit.ly/griibdglive,,"Sabtu, 30 Mei 2020",
32,17.00 WIB,PA - Bertemu Yesus yang Menang : Gereja yang Tak Ditelan Maut,Pdt. J. Putratama Kamuri,http://bit.ly/mriidepoklive,,"Sabtu, 30 Mei 2020",
36,17.30 WIB,PA Pemuda - Mematikan Dosa : Kepahitan,Sdr. Roby Handoko,"Zoom Meeting ID : 295 613 711,
 Password : 694471",,"Sabtu, 30 Mei 2020",
37,18.00 WIB,Pemahaman Alkitab,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,"Sabtu, 30 Mei 2020",
38,18.00 WIB,Pembinaan : Injil Kerajaan - Hidup dan Kesaksian (Sharing Hidup),Pdt. Ivan Adi Raharjo,http://bit.ly/griimalanglive,,"Sabtu, 30 Mei 2020",
39,19.00 WIB,KPIN Kapuas 2012 - Bertobatlah! Mengapa Harus Binasa?,Pdt. Stephen Tong,https://www.youtube.com/c/RELAYRMCI/live,https://pusat.grii.org/live,"Sabtu, 30 Mei 2020",
40,19.00 WIB,PA - Hard Sayings of The Old Testament : Rahab Berbohong - 'A White Lie'?,Pdt. Benyamin F. Intan,https://www.youtube.com/c/GRIIPondokIndah/live,,"Sabtu, 30 Mei 2020",
