No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,"Sabtu, 6 Juni 2020",
2,06.30 WIB,Persekutuan Doa Pusat,GRII Pusat,https://www.youtube.com/c/RELAYRMCI/live,https://pusat.grii.org/live,"Sabtu, 6 Juni 2020",
3,06.30 WIB,PD - Kristus Bagi dan Kepenuhan Jemaat,Pdt. Sutjipto Subeno,https://zoom.us/j/2232232211,Zoom Meeting ID : 223 223 2211,"Sabtu, 6 Juni 2020",
4,06.30 WIB,Persekutuan Doa,GRII BSD,http://www.grii-bsd.org/live/,,"Sabtu, 6 Juni 2020",
5,07.00 WIB,Saat Teduh Bersama - Permulaan Sakit Bersalin,Pdt. Eko Aria,http://bit.ly/griimalanglive,,"Sabtu, 6 Juni 2020",
6,07.00 WIB,Persekutuan Doa,GRII Pondok Indah,https://zoom.us/j/97578233474,Zoom Meeting ID: 975 7823 3474,"Sabtu, 6 Juni 2020",
7,07.00 WIB,Persekutuan Doa,GRII Karawaci,https://zoom.us/j/98538361319,Zoom Meeting ID : 985 3836 1319,"Sabtu, 6 Juni 2020",
8,07.00 WIB,Persekutuan Doa,MRII Makassar,"Zoom Meeting ID : 552 009 5323,
Password : 1234567",,"Sabtu, 6 Juni 2020",
9,07.00 WIB,Persekutuan Doa,Vik. Stenly Y. Lailewan,https://www.facebook.com/Mimbar-Reformed-Injili-Indonesia-Bogor-104262257972271,,"Sabtu, 6 Juni 2020",
10,07.30 WIB,Persekutuan Doa,MRII PIK,https://zoom.us/j/335979844,,"Sabtu, 6 Juni 2020",
11,08.00 WIB,PA Anak - Pohon Iman : #1 Talenta,IREC Tokyo,https://zoom.us/j/92579844217?pwd=VjRDSkRWREJndlpmckVacEwyZnJFdz09,,"Sabtu, 6 Juni 2020",
12,08.15 WIB,Belajar Katekismus Heidelberg - True Faith (QA 20 - 23),Pdt. Billy Kristanto,https://griikg.org/live/,,"Sabtu, 6 Juni 2020",
13,08.30 WIB,Tanya Jawab Umum - GRII Karawaci,"Pdt. David Tong, 
Pdt. Budi Sutrisno",https://www.youtube.com/channel/UCfTHYV5ssBlQGIREemrq51Q/live,,"Sabtu, 6 Juni 2020",
14,08.30 WIB,PA Dewasa Muda,GRII Melbourne,https://myaf.online/zoom,,"Sabtu, 6 Juni 2020",
15,10.00 WIB,PA Anak - Roh Kudus Turun Memberi Kuasa,Sdr. Alfret Y. Tadjo Talo,http://bit.ly/mriidepoklive,,"Sabtu, 6 Juni 2020",
16,10.30 WIB,Kebaktian Penutupan Semester Genap 2020 STTRII,Pdt. Sutjipto Subeno,https://www.youtube.com/STTRIIOnline/live,,"Sabtu, 6 Juni 2020",
17,11.00 WIB,Persekutuan Doa,GRII Sydney,https://us02web.zoom.us/j/87654253319?pwd=cnF3cnZDMDlYNEpDeGhkTTdSaHg1Zz09,https://www.facebook.com/griisydney,"Sabtu, 6 Juni 2020",
18,13.00 WIB,Persekutuan Pemuda & Pekerja,GRII Sydney,https://us02web.zoom.us/j/86492799186?pwd=MVF4REdwQkViemUwSVJpUS96amcvZz09,,"Sabtu, 6 Juni 2020",
19,13.00 WIB,PA Anak - Damai Injil-Nya,Pdt. Jimmy Pardede,http://bit.ly/griibdglive,,"Sabtu, 6 Juni 2020",
23,14.00 WIB,Persekutuan Remaja,GRII Pondok Indah,"Zoom Meeting ID: 835 9036 6833,
Password: 449481",,"Sabtu, 6 Juni 2020",
22,14.00 WIB,Persekutuan Pra-Remaja,GRII Pondok Indah,"Zoom Meeting ID: 921 5144 6437,
Password: 039453",,"Sabtu, 6 Juni 2020",
20,14.00 WIB,Women's Fellowship - Christ Jesus Our Wisdom (Session 1),Vik. Rudy Phen,Pendaftaran hubungi WA : https://wa.me/628121051985,,"Sabtu, 6 Juni 2020",
21,14.00 WIB,PA Remaja & Pemuda - Christ in The Old Testament : Under God's Rule,GRII Singapura,https://zoom.us/j/98185321952?pwd=NVNKLzFqdFFEMDBwcXJkdWpiQzBadz09,,"Sabtu, 6 Juni 2020",
24,15.00 WIB,PA Remaja & Pemuda - Good Works : Designed for Dignity,"Sdr. Alfret Y. Tadjo Talo,
Sdr. Doni H. Harianja",https://zoom.us/j/8434545367,Live FB : http://facebook.com/mrii.depok,"Sabtu, 6 Juni 2020",
25,16.00 WIB,PA Pemuda & Pekerja - Wise Living : Money,Bp. Kenny Ruben,https://griikg.org/live/,Zoom : http://bit.ly/PAPPGRIIKG,"Sabtu, 6 Juni 2020",
26,16.00 WIB,Persekutuan Doa,GRII Buaran,http://bit.ly/griibuaranlive,,"Sabtu, 6 Juni 2020",
27,16.00 WIB,PA Remaja - Westminster Shorter Cathecism : Question 6,Pdt. Amin Khouw,https://zoom.us/j/87674581530,Zoom Meeting ID : 876 7458 1530,"Sabtu, 6 Juni 2020",
28,16.00 WIB,PA - 10 Days Around The Ancient World with Paul : Paul's Third Mission #2,Pdt. Aiter,http://bit.ly/griicitralive,Peta perjalanan (di brosur) : https://drive.google.com/drive/folders/1-ux9sTbmh4_0RpenUB9b2YGw1o0YfuBM?usp=sharing,"Sabtu, 6 Juni 2020",
29,16.00 WIB,PA Pemuda & Profesional - Kristus dalam Ratapan,Pdt. Budi Sutrisno,"Zoom Meeting ID : 945 9182 1998,
Password : pemuda",,"Sabtu, 6 Juni 2020",
30,16.00 WIB,PA Remaja,GRII Andhika,https://us02web.zoom.us/j/84919628954,,"Sabtu, 6 Juni 2020",
