No.,Pengkhotbah,Tema,Link,Keterangan,Tanggal,YTId
1,Pdt. Aiter,PA KHUSUS IBADAH #1 ADAM - NUH,https://www.youtube.com/watch?v=zc_eQE-6pXA,https://www.youtube.com/channel/UCtL-WWi8jU4B3FaeMHz4CZw/videos,12-Apr-2020,zc_eQE-6pXA
2,Pdt. Aiter,"PA KHUSUS IBADAH #2 ABRAHAM, ISHAK, YAKUB",https://www.youtube.com/watch?v=v5x4ak7__PQ,,13-Apr-2020,v5x4ak7__PQ
3,Pdt. Aiter,PA KHUSUS IBADAH #3 MUSA: PADANG GURUN,https://www.youtube.com/watch?v=be56v5h79b0,,14-Apr-2020,be56v5h79b0
4,Pdt. Aiter,PA KHUSUS IBADAH #4 YOSUA: KANAAN,https://www.youtube.com/watch?v=5ZjEpikI5sI,,15-Apr-2020,5ZjEpikI5sI
5,Pdt. Aiter,PA KHUSUS IBADAH #5 HAKIM - HAKIM,https://www.youtube.com/watch?v=kpT676dVX0c,,16-Apr-2020,kpT676dVX0c
6,Pdt. Aiter,PA KHUSUS IBADAH #6 SAMUEL & RAJA - RAJA,https://www.youtube.com/watch?v=fv2NY9kv8xA,,17-Apr-2020,fv2NY9kv8xA
7,Pdt. Aiter,PA KHUSUS IBADAH #7 MASA PEMBUANGAN,https://www.youtube.com/watch?v=VYwkYIA1NIk,,18-Apr-2020,VYwkYIA1NIk
8,Pdt. Aiter,PA KHUSUS IBADAH #8 PASCA PEMBUANGAN,https://www.youtube.com/watch?v=IR-_xmuq7EY,,19-Apr-2020,IR-_xmuq7EY
9,Pdt. Aiter,PA KHUSUS IBADAH #9 ZAMAN YESUS,https://www.youtube.com/watch?v=M_zgjRxxgL4,,20-Apr-2020,M_zgjRxxgL4
10,Pdt. Aiter,PA KHUSUS IBADAH #10 GEREJA MULA-MULA & GEREJA MASAKINI,https://www.youtube.com/watch?v=LtTUCeV34pI,,21-Apr-2020,LtTUCeV34pI
