No.,Pengkhotbah,Tema,Link,Keterangan,Tanggal,YTId
1,Pdt. Aiter,PA KHUSUS PB #1 INJIL MATIUS : STRUKTUR,https://www.youtube.com/watch?v=IXVQdADocyg,,26-Apr-2020,IXVQdADocyg
2,Pdt. Aiter,PA KHUSUS PB #2 INJIL MATIUS : KEUNIKAN,https://www.youtube.com/watch?v=gJvAkN3CXU0,,27-Apr-2020,gJvAkN3CXU0
3,Pdt. Aiter,PA KHUSUS PB #3 INJIL MARKUS : STRUKTUR,https://www.youtube.com/watch?v=XJGTEEX08B4,,28-Apr-2020,XJGTEEX08B4
4,Pdt. Aiter,PA KHUSUS PB #4 INJIL MARKUS : KEUNIKAN,https://www.youtube.com/watch?v=KQ3fMXCh-FI,,29-Apr-2020,KQ3fMXCh-FI
5,Pdt. Aiter,PA KHUSUS PB #5 INJIL LUKAS : STRUKTUR,https://www.youtube.com/watch?v=MBUep0sUQ8U,,30-Apr-2020,MBUep0sUQ8U
6,Pdt. Aiter,PA KHUSUS PB #6 INJIL LUKAS : KEUNIKAN,https://www.youtube.com/watch?v=IbTI8RTR2OA,,1-May-2020,IbTI8RTR2OA
7,Pdt. Aiter,PA KHUSUS PB #7 INJIL YOHANES : STRUKTUR,https://www.youtube.com/watch?v=a3oznSw3YRI,,2-May-2020,a3oznSw3YRI
8,Pdt. Aiter,PA KHUSUS PB #8 INJIL YOHANES : KEUNIKAN,https://www.youtube.com/watch?v=bCbqg94pDGI,,3-May-2020,bCbqg94pDGI
9,Pdt. Aiter,PA KHUSUS PB #9 KISAH PARA RASUL : STRUKTUR,https://www.youtube.com/watch?v=xmLk7O9496A,,4-May-2020,xmLk7O9496A
10,Pdt. Aiter,PA KHUSUS PB #10 KISAH PARA RASUL : KEUNIKAN,https://www.youtube.com/watch?v=6JKHa4c6iEY,,5-May-2020,6JKHa4c6iEY
