No.,Pengkhotbah,Tema,Link,Keterangan,Tanggal,YTId
1,Pdt. Aiter,Ten Plagues of Egypt - 1 Air Menjadi Darah,https://www.youtube.com/watch?v=kAkl04-qpss,Mulai Menit Ke-31,26-Mar-2020,kAkl04-qpss
2,Pdt. Aiter,Ten Plagues of Egypt - 2 Katak,https://www.youtube.com/watch?v=fYBbTjdPi9E,Mulai Menit Ke-26,27-Mar-2020,fYBbTjdPi9E
3,Pdt. Aiter,Ten Plagues of Egypt - 3 Nyamuk,https://www.youtube.com/watch?v=PMKcUPRl-ZA,Mulai Menit Ke-17,28-Mar-2020,PMKcUPRl-ZA
4,Pdt. Aiter,Ten Plagues of Egypt - 4 Lalat Pikat,https://www.youtube.com/watch?v=BtQiegiMgsQ,Mulai Menit Ke-28,29-Mar-2020,BtQiegiMgsQ
5,Pdt. Aiter,Ten Plagues of Egypt - 5 Penyakit Sampar,https://www.youtube.com/watch?v=Ly8K4qdzNVg,Mulai menit ke-20,30-Mar-2020,Ly8K4qdzNVg
6,Pdt. Aiter,Ten Plagues of Egypt - 6 Barah,https://youtu.be/aCqVR-l_fes?t=2085,Mulai menit ke-34,31-Mar-2020,aCqVR-l_fes
7,Pdt. Aiter,Ten Plagues of Egypt - 7 Hujan Es,https://youtu.be/HatMjA-ezS8?t=1477,Mulai menit ke-25,1-Apr-2020,HatMjA-ezS8
8,Pdt. Aiter,Ten Plagues of Egypt - 8 Belalang,https://youtu.be/18Z0lERKAwc?t=290,Mulai menit ke-5,2-Apr-2020,18Z0lERKAwc
9,Pdt. Aiter,Ten Plagues of Egypt - 9 Gelap Gulita,https://youtu.be/Nek6qGC-3UM?t=1825,Mulai menit ke-30,3-Apr-2020,Nek6qGC-3UM
10,Pdt. Aiter,Ten Plagues of Egypt - 10 Anak Sulung Mati,https://www.youtube.com/watch?v=ut6Wgi_-IiQ,,4-Apr-2020,ut6Wgi_-IiQ
